"LogServer Log Report"
"License Number: 20231112"
"Address: Khulna"
"Phone Number: "
"Log Report: 2023-12-01T18:29:00 to 2023-12-01T18:33:59"
DateTime,"Router IP",User,Protocol,Mac,"Src IP",Port,"Destination IP",Port,"NAT IP",Port
"01-12-2023 12:29 pm",103.102.247.53,"josem@cng ",TCP," 28:ee:52:fd:66:35",10.7.1.33,44605,142.250.195.42,443," 163.47.158.129",44605
"01-12-2023 12:29 pm",103.102.247.53,"muttasin@cng ",TCP," 58:d9:d5:6f:54:92",10.7.1.89,42846,23.212.99.185,443," 163.47.158.129",42846
"01-12-2023 12:29 pm",103.102.247.53,"Tarikul_Islam@cng ",TCP," bc:62:ce:d8:ef:3f",10.7.1.131,35316,164.90.98.97,443," 163.47.158.129",35316
"01-12-2023 12:29 pm",103.102.247.53,"shumon_hossen@cng ",TCP," bc:62:ce:f7:17:5a",10.7.1.157,44090,169.136.160.57,1959," 163.47.158.129",44090
"01-12-2023 12:29 pm",103.102.247.53,"opu@cng ",TCP," 48:22:54:94:0b:4b",10.7.1.23,45238,31.13.79.18,443," 163.47.158.129",45238
"01-12-2023 12:29 pm",103.102.247.53,"mentu@cng ",TCP," c0:c9:e3:56:ea:5e",10.7.1.208,57754,163.47.158.104,443," 172.16.16.30",57754
"01-12-2023 12:29 pm",103.102.247.53,"shumon_hossen@cng ",TCP," bc:62:ce:f7:17:5a",10.7.1.157,52526,169.136.73.164,947," 163.47.158.129",52526
"01-12-2023 12:29 pm",103.102.247.53,"abu_saide@cng ",TCP," d8:32:14:26:10:18",10.7.1.140,48118,164.90.117.67,443," 163.47.158.129",48118
"01-12-2023 12:29 pm",103.102.247.53,"semol_hossen@cng ",TCP," 50:0f:f5:10:68:19",10.7.1.163,5238,23.212.99.144,443," 163.47.158.129",5238
"01-12-2023 12:29 pm",103.102.247.53,"kayrul@cng ",TCP," 78:8c:b5:25:48:4f",10.7.1.213,39388,142.250.182.67,80," 163.47.158.129",39388
"01-12-2023 12:29 pm",103.102.247.53,"opu@cng ",TCP," 48:22:54:94:0b:4b",10.7.1.23,34216,71.18.1.248,443," 163.47.158.129",34216
"01-12-2023 12:29 pm",103.102.247.53,"Jahid_hasan2@cng ",TCP," cc:2d:21:f0:e0:e7",10.7.1.40,38976,142.250.193.138,443," 163.47.158.129",38976
"01-12-2023 12:29 pm",103.102.247.53,"opu@cng ",TCP," 48:22:54:94:0b:4b",10.7.1.23,34256,71.18.1.248,443," 163.47.158.129",34256
"01-12-2023 12:29 pm",103.102.247.53,"jahid@cng ",TCP," 08:40:f3:66:d7:90",10.7.1.84,42650,172.217.160.130,443," 163.47.158.129",42650
"01-12-2023 12:29 pm",103.102.247.53,"emamul@cng ",TCP," 50:0f:f5:fd:b1:90",10.7.1.124,51876,202.63.49.12,14061," 163.47.158.129",51876
